"_ano_pesquisa","cargo_atual","nivel","faixa_salarial","qtd_respondentes"
"2023","Analista de BI/BI Analyst","Sênior","de R$ 20.001/mês a R$ 25.000/mês","3"
"2023","Outras Engenharias (não inclui dev)","Júnior","de R$ 8.001/mês a R$ 12.000/mês","3"
"2023","Analista de Dados/Data Analyst","Sênior","de R$ 25.001/mês a R$ 30.000/mês","2"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Júnior","de R$ 8.001/mês a R$ 12.000/mês","2"
"2023","Professor/Pesquisador","Pleno","de R$ 3.001/mês a R$ 4.000/mês","2"
"2023","Analista de Negócios/Business Analyst","Pleno","de R$ 12.001/mês a R$ 16.000/mês","2"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Pleno","de R$ 3.001/mês a R$ 4.000/mês","2"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Pleno","de R$ 16.001/mês a R$ 20.000/mês","2"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","de R$ 6.001/mês a R$ 8.000/mês","2"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","de R$ 2.001/mês a R$ 3.000/mês","2"
"2023","Outra Opção","Sênior","de R$ 3.001/mês a R$ 4.000/mês","2"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","de R$ 4.001/mês a R$ 6.000/mês","2"
"2023","Professor/Pesquisador","Sênior","de R$ 8.001/mês a R$ 12.000/mês","2"
"2023","Cientista de Dados/Data Scientist","Pleno","de R$ 20.001/mês a R$ 25.000/mês","2"
"2023","DBA/Administrador de Banco de Dados","Pleno","de R$ 3.001/mês a R$ 4.000/mês","2"
"2023","Outras Engenharias (não inclui dev)","Sênior","de R$ 20.001/mês a R$ 25.000/mês","2"
"2023","Estatístico","Pleno","de R$ 16.001/mês a R$ 20.000/mês","2"
"2023","Analista de Negócios/Business Analyst","Júnior","de R$ 6.001/mês a R$ 8.000/mês","2"
"2023","Professor/Pesquisador","Pleno","de R$ 4.001/mês a R$ 6.000/mês","2"
"2023","Analytics Engineer","Júnior","de R$ 3.001/mês a R$ 4.000/mês","2"
"2023","Analista de Suporte/Analista Técnico","Sênior","de R$ 4.001/mês a R$ 6.000/mês","2"
"2023","Analytics Engineer","Sênior","de R$ 20.001/mês a R$ 25.000/mês","2"
"2023","Analista de Suporte/Analista Técnico","Pleno","de R$ 1.001/mês a R$ 2.000/mês","2"
"2023","Analytics Engineer","Júnior","de R$ 2.001/mês a R$ 3.000/mês","2"
"2023","Cientista de Dados/Data Scientist","Pleno","de R$ 2.001/mês a R$ 3.000/mês","2"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Júnior","de R$ 4.001/mês a R$ 6.000/mês","2"
"2023","Professor/Pesquisador","Júnior","de R$ 8.001/mês a R$ 12.000/mês","2"
"2023","Analista de BI/BI Analyst","Pleno","de R$ 12.001/mês a R$ 16.000/mês","2"
"2023","Analista de BI/BI Analyst","Pleno","de R$ 1.001/mês a R$ 2.000/mês","2"
"2023","DBA/Administrador de Banco de Dados","Pleno","de R$ 8.001/mês a R$ 12.000/mês","2"
"2023","Analista de BI/BI Analyst","Pleno","de R$ 16.001/mês a R$ 20.000/mês","2"
"2023","Outra Opção","Sênior","de R$ 25.001/mês a R$ 30.000/mês","2"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","Acima de R$ 40.001/mês","2"
"2023","Analista de Dados/Data Analyst","Júnior","Menos de R$ 1.000/mês","2"
"2023","Analytics Engineer","Pleno","de R$ 3.001/mês a R$ 4.000/mês","2"
"2023","Analista de Suporte/Analista Técnico","Pleno","de R$ 8.001/mês a R$ 12.000/mês","2"
"2023","Analista de Dados/Data Analyst","Júnior","de R$ 8.001/mês a R$ 12.000/mês","2"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","de R$ 20.001/mês a R$ 25.000/mês","2"
"2023","Analista de Dados/Data Analyst","Júnior","de R$ 12.001/mês a R$ 16.000/mês","2"
"2023","Analista de Suporte/Analista Técnico","Júnior","de R$ 4.001/mês a R$ 6.000/mês","2"
"2023","Professor/Pesquisador","Sênior","de R$ 4.001/mês a R$ 6.000/mês","2"
"2023","Outra Opção","Pleno","de R$ 25.001/mês a R$ 30.000/mês","2"
"2023","Outra Opção","Júnior","de R$ 12.001/mês a R$ 16.000/mês","2"
"2023","Estatístico","Sênior","de R$ 16.001/mês a R$ 20.000/mês","2"
"2023","Outra Opção","Sênior","de R$ 20.001/mês a R$ 25.000/mês","2"
"2023","Professor/Pesquisador","Pleno","de R$ 8.001/mês a R$ 12.000/mês","2"
"2023","Analytics Engineer","Sênior","de R$ 30.001/mês a R$ 40.000/mês","2"
"2023","Analista de Dados/Data Analyst","Pleno","de R$ 30.001/mês a R$ 40.000/mês","1"
"2023","Professor/Pesquisador","Sênior","Acima de R$ 40.001/mês","1"
"2023","Analista de Negócios/Business Analyst","Sênior","de R$ 20.001/mês a R$ 25.000/mês","1"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","de R$ 8.001/mês a R$ 12.000/mês","1"
"2023","DBA/Administrador de Banco de Dados","Pleno","de R$ 6.001/mês a R$ 8.000/mês","1"
"2023","Estatístico","Pleno","de R$ 6.001/mês a R$ 8.000/mês","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","de R$ 3.001/mês a R$ 4.000/mês","1"
"2023","DBA/Administrador de Banco de Dados","Sênior","Acima de R$ 40.001/mês","1"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Sênior","de R$ 20.001/mês a R$ 25.000/mês","1"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Júnior","de R$ 2.001/mês a R$ 3.000/mês","1"
"2023","Analista de Suporte/Analista Técnico","Pleno","Menos de R$ 1.000/mês","1"
"2023","Professor/Pesquisador","Pleno","de R$ 1.001/mês a R$ 2.000/mês","1"
"2023","Professor/Pesquisador","Pleno","de R$ 6.001/mês a R$ 8.000/mês","1"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Pleno","de R$ 2.001/mês a R$ 3.000/mês","1"
"2023","Analista de Dados/Data Analyst","Júnior","de R$ 16.001/mês a R$ 20.000/mês","1"
"2023","Outras Engenharias (não inclui dev)","Pleno","de R$ 8.001/mês a R$ 12.000/mês","1"
"2023","Professor/Pesquisador","Sênior","de R$ 30.001/mês a R$ 40.000/mês","1"
"2023","Professor/Pesquisador","Júnior","de R$ 3.001/mês a R$ 4.000/mês","1"
"2023","DBA/Administrador de Banco de Dados","Sênior","de R$ 16.001/mês a R$ 20.000/mês","1"
"2023","Analista de Dados/Data Analyst","Sênior","Acima de R$ 40.001/mês","1"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Pleno","de R$ 8.001/mês a R$ 12.000/mês","1"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","de R$ 4.001/mês a R$ 6.000/mês","1"
"2023","Outras Engenharias (não inclui dev)","Pleno","de R$ 2.001/mês a R$ 3.000/mês","1"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Júnior","de R$ 3.001/mês a R$ 4.000/mês","1"
"2023","Estatístico","Sênior","de R$ 20.001/mês a R$ 25.000/mês","1"
